Pool,Sex,Treament,SexTreat,IFNy,IL10,IL12p70,IL1B,IL2,IL4,IL5,IL6,KC/GRO,TNFa,IL15,IL17AF,IL27p28/IL30,IL33,IL9,IP10,MCP1,MIP1a,MIP2,WeightRate,il10,tnfa,il6,il1b,iNOS,foxp3,Ferm,Roast
"12, 2",Female,NO/LO,13,1.319082,31.01587,1.14835257,0.4927658,1.633002,0.2838151,9.39576,13.0793,62.05466,12.87659,34.33318204,0,16.47838,3.928841,0,32.34066,5.650988,0.585547,8.075156,0.480666667,2.05608421,0.242323773,0.401932048,0.415319005,0.719782235,0.193043783,NO,LO
"7, 6",Female,NO/LO,13,1.289701,28.89675,0,0.3231901,1.513169,0.3260137,9.077278,10.57687,59.62257,12.64616,25.12895197,0,25.16444,3.859577,0,32.91319,5.408793,0.629348,8.602283,0.731833333,2.080337104,0.348413983,0.346059418,0.509730302,0.575560843,,NO,LO
"3, 10",Female,NO/LO,13,1.481496,29.16552,0,0.3804607,2.378621,0.209206,11.55198,14.64779,70.50671,16.13446,26.67261062,0,8.823833,3.58278,0,31.63964,5.140892,0.6421413,8.55344,0.75625,2.268099242,0.294785054,0.484292896,0.480592568,0.750173247,,NO,LO
"11, 3",Female,NO/HI,14,1.843063,29.5393,0,0.2610525,0.4274264,0.1958244,12.44476,12.49428,61.15527,14.57806,48.82825145,0,3.163784,3.013442,0,32.12487,5.669384,10.6293,9.028804,1.263,1.927034356,0.311414614,0.385602838,0.67484063,1.024385494,0.686580125,NO,HI
"12, 2",Female,NO/HI,14,1.710024,29.42667,0,0.2412079,0.2987357,0.07804709,11.06529,11.53878,57.76377,12.74425,50.30480124,0,2.720531,3.135385,3.466601,31.67328,5.913514,9.956744,8.910353,1.708916667,1.703014686,0.274777975,0.465067142,0.850534185,1.025877861,0.675252977,NO,HI
"9, 6",Female,NO/HI,14,1.74512,29.68854,0,0.258886,0.2041146,0.06478436,11.17661,11.5692,58.48126,12.58796,50.86907386,0,3.204078,3.074441,0,32.87371,6.047472,11.1746,9.111156,1.466,1.61631401,0.345437196,0.241920869,0.379760576,1.047253855,0.708578698,NO,HI
"10, 4",Female,NO/HI,14,1.836534,29.89686,8.649239431,0.2536242,0.4462118,0.03284541,12.09204,12.58946,59.61309,13.91059,64.80512584,0,4.023066,3.509539,0,31.41986,6.147071,11.41716,9.39849,1.295333333,1.904824384,0.336518794,0.401899872,0.546926974,0.960725416,,NO,HI
"1, 5",Female,NO/HI,14,1.985083,33.27409,2.900875104,0.3430743,0.6390021,0.1805731,13.38813,14.39955,72.10469,14.57446,66.84539943,0,4.613666,3.3997,8.721166,31.26756,6.219965,11.79712,9.326641,1.552166667,1.956887017,0.346768805,0.4406164,0.723178508,0.969007146,,NO,HI
"11, 2",Female,LO/LO,15,2.286273,27.50615,6.776216917,0.7558166,0.6481072,0.1253779,8.845028,27.19157,90.19585,14.87592,43.6375198,0.027909313,2.948864,3.623477,3.699329,42.58964,7.002524,0.827072,13.55394,0.82825,2.481662997,0.218821987,0.332719127,0.615971489,0.375023245,1.118837101,LO,LO
"5, 1",Female,LO/LO,15,2.247094,27.1617,0,0.5502781,0.7560116,0.1579062,9.452441,25.99508,88.2336,16.1261,27.36902825,0,2.734025,3.473043,0,42.67687,6.377754,0.75372,13.2967,1.553083333,2.726456444,0.259676138,0.339660174,0.563327776,0.435298753,0.362863789,LO,LO
"10, 8",Female,LO/LO,15,2.314842,26.13608,0,0.4552896,0.8261034,0.1234666,8.923766,27.33494,90.49173,15.7639,38.29958901,0,2.5996,3.733453,0,43.65975,6.605983,1.00292,17.64499,1.378416667,2.247159571,0.271849819,0.404569107,0.603683354,0.310117867,0.534588238,LO,LO
"12, 7",Female,LO/LO,15,2.356472,25.78391,0,0.5002649,0.7325988,0.1386768,9.033736,24.405,91.48871,15.45854,29.98709122,0,2.572846,3.155704,0,40.98941,6.596751,0.6930278,12.63539,1.0305,1.829363845,0.295297129,0.444968481,0.640905221,0.398433806,,LO,LO
"3, 9",Female,LO/LO,15,2.193221,28.15652,2.072762087,0.5602612,0.4933529,0.1730569,8.875177,20.90366,85.32108,12.75668,42.00751943,0,2.895199,3.485134,0,40.53304,6.643925,0.7805414,13.73565,1.201416667,2.268657246,0.157080636,0.355734052,0.565399069,0.596807002,,LO,LO
"9, 5",Female,HI/HI,16,1.742672,30.71674,0,0.1768502,1.11451,0.04033074,10.38384,13.26372,92.41946,12.24533,42.94375927,0,3.929031,4.303577,0.319921,41.80035,7.770217,2.055832,13.1163,0.928166667,1.568133047,0.371203328,0.760125325,0.753534558,0.887612017,0.885460589,HI,HI
"12, 8",Female,HI/HI,16,1.590862,29.15105,9.547628524,0.2984113,1.346472,0,9.388891,12.43413,89.37196,11.72759,53.18282741,0,3.472576,5.050058,3.074153,41.84304,8.166862,2.209178,12.6856,0.631,1.490264155,0.340662167,0.684125317,0.793591987,0.93472109,1.021012126,HI,HI
"7, 3",Female,HI/HI,16,1.656972,29.23312,0,0.1990998,1.040336,0,10.1984,13.69367,87.12744,10.99729,41.43579095,0,3.418907,4.466631,3.333707,41.98592,8.065505,2.210576,14.851,0.8775,1.242709688,0.464506005,0.626427643,0.695369321,1.091726666,0.767639045,HI,HI
"10, 6",Female,HI/HI,16,1.657788,30.09842,2.900875104,0.2983055,1.239498,0,12.19681,16.09723,93.49212,14.9909,48.00760367,0,3.687449,4.682636,0.2511345,43.09185,8.358555,2.344027,16.00022,0.419166667,1.056996274,0.39357148,0.726596418,0.781533763,0.895517139,,HI,HI
"2, 11",Female,HI/HI,16,1.663502,25.12806,0,0.1447933,0.8120221,0.1071195,9.628407,11.78493,88.74296,11.54154,39.2322461,0,3.674012,4.144648,3.298891,41.52558,8.090841,1.973968,12.2352,0.659,1.500004292,0.414648416,0.754316669,0.767576416,0.977424427,,HI,HI
